name,type,start_time,duration,"mosi","miso"
"SPI","result",0.01666025,0.000024042,0xFF,0xFF
"SPI","result",0.01669975,0.000024042,0xFF,0x01
"SPI","disable",0.016731833,0.000000042,,
"SPI","enable",0.016772125,0.000000042,,
"SPI","result",0.016780583,0.000024042,0xFF,0xFF
"SPI","result",0.01682025,0.000024042,0xFF,0xFF
"SPI","result",0.016860375,0.000024042,0x69,0xFF
"SPI","result",0.016899583,0.000024042,0x40,0xFF
"SPI","result",0.016938833,0.000024042,0x00,0xFF
"SPI","result",0.016978042,0.000024042,0x00,0xFF
"SPI","result",0.017017292,0.000024042,0x00,0xFF
"SPI","result",0.017056583,0.000024042,0x01,0xFF
"SPI","result",0.017095917,0.000024042,0xFF,0xFF
"SPI","result",0.017135417,0.000024042,0xFF,0x01
"SPI","disable",0.0171685,0.000000042,,
"SPI","enable",0.01720875,0.000000042,,
"SPI","result",0.017217208,0.000024042,0xFF,0xFF
"SPI","result",0.017256875,0.000024042,0xFF,0xFF
"SPI","result",0.017297,0.000024042,0x77,0xFF
"SPI","result",0.017336208,0.000024042,0x00,0xFF
"SPI","result",0.017375458,0.000024042,0x00,0xFF
"SPI","result",0.017414667,0.000024042,0x00,0xFF
"SPI","result",0.017453917,0.000024042,0x00,0xFF
"SPI","result",0.017493167,0.000024042,0x01,0xFF
"SPI","result",0.017533292,0.000024042,0xFF,0xFF
"SPI","result",0.01757275,0.000024042,0xFF,0x01
"SPI","disable",0.017604833,0.000000042,,
"SPI","enable",0.017645167,0.000000042,,
"SPI","result",0.017653625,0.000024042,0xFF,0xFF
"SPI","result",0.01769325,0.000024042,0xFF,0xFF
"SPI","result",0.017733375,0.000024042,0x69,0xFF
"SPI","result",0.017772583,0.000024042,0x40,0xFF
"SPI","result",0.017811833,0.000024042,0x00,0xFF
"SPI","result",0.017851042,0.000024042,0x00,0xFF
"SPI","result",0.017890333,0.000024,0x00,0xFF
"SPI","result",0.017929583,0.000024042,0x01,0xFF
"SPI","result",0.017968917,0.000024,0xFF,0xFF
"SPI","result",0.018008375,0.000024042,0xFF,0x01
"SPI","disable",0.018041458,0.000000042,,
"SPI","enable",0.018081708,0.000000042,,
"SPI","result",0.018090208,0.000024042,0xFF,0xFF
"SPI","result",0.018129833,0.000024042,0xFF,0xFF
"SPI","result",0.018169958,0.000024042,0x77,0xFF
